snapshot_id,account_id,provider,account_label,project_id,profile_url,period_label,total_views,unique_visitors,total_visits,top_pages,countries,top_page_label,top_country_label,source_url,collected_at,snapshot_date,total_views_change,unique_visitors_change,total_visits_change
1,lady-sublime-modelcentro,ahrefs,ModelCentro,10063620,https://ladysublime.com/,Last 30 days,14,9,9,"[{""page_path"": ""/"", ""visitors"": 6}]","[{""country"": ""Mexico"", ""visitors"": 4}, {""country"": ""United States"", ""visitors"": 3}, {""country"": ""Netherlands"", ""visitors"": 1}, {""country"": ""Canada"", ""visitors"": 1}]",/ (6 visitors),Mexico (4 visitors),https://app.ahrefs.com/web-analytics,2026-07-07T15:23:55-04:00,2026-07-07,,,
2,lady-sublime-mymember,ahrefs,MyMember,,https://mymember.site/lady-sublime,Tracking setup,,,,[],[],,,https://app.ahrefs.com/web-analytics,2026-07-07T15:31:47-04:00,2026-07-07,,,
3,lady-sublime-mymember,ahrefs,MyMember,,https://mymember.site/lady-sublime,Last 30 days,,,,[],[],,,https://app.ahrefs.com/web-analytics,2026-07-07T15:56:45-04:00,2026-07-07,,,
4,lady-sublime-mymember,ahrefs,MyMember,,https://mymember.site/lady-sublime,Last 30 days,,,,[],[],,,https://app.ahrefs.com/web-analytics,2026-07-08T14:14:24-04:00,2026-07-08,,,
5,lady-sublime-modelcentro,ahrefs,ModelCentro,10063620,https://ladysublime.com/,Today: 12 Jul 2026,1758,372,425,[],[],,,https://app.ahrefs.com/web-analytics/10063620/overview,2026-07-12T17:48:38-04:00,2026-07-12,1744,363,416
6,lady-sublime-mymember,ahrefs,MyMember,10078083,https://mymember.site/lady-sublime,Live Ahrefs project review on 12 Jul 2026,,,,[],[],,,https://app.ahrefs.com/project-settings/10078083/ownership,2026-07-12T17:48:38-04:00,2026-07-12,,,
7,lady-sublime-modelcentro,ahrefs,ModelCentro,10063620,https://ladysublime.com/,Today: 13 Jul 2026,726,185,210,[],[],,,https://app.ahrefs.com/web-analytics/10063620/overview,2026-07-13T08:13:33-04:00,2026-07-13,-1032,-187,-215
8,lady-sublime-modelcentro,ahrefs,ModelCentro,10063620,https://ladysublime.com/,Today: 16 Jul 2026,872,196,226,[],[],,,https://app.ahrefs.com/web-analytics/10063620,2026-07-16T08:14:39-04:00,2026-07-16,146,11,16
9,lady-sublime-modelcentro,ahrefs,ModelCentro,10063620,https://ladysublime.com/,Today: 17 Jul 2026,818,216,256,[],[],,,https://app.ahrefs.com/web-analytics/10063620,2026-07-17T08:20:22-04:00,2026-07-17,-54,20,30
10,lady-sublime-modelcentro,ahrefs,ModelCentro,10063620,https://ladysublime.com/,Today: 18 Jul 2026,796,198,223,[],[],,,https://app.ahrefs.com/web-analytics/10063620/overview,2026-07-18T08:18:23-04:00,2026-07-18,-22,-18,-33
11,lady-sublime-modelcentro,ahrefs,ModelCentro,10063620,https://ladysublime.com/,Today: 19 Jul 2026,1005,241,262,[],[],,,https://app.ahrefs.com/web-analytics/10063620/overview,2026-07-19T08:18:17-04:00,2026-07-19,209,43,39
12,lady-sublime-modelcentro,ahrefs,ModelCentro,,https://ladysublime.com/,Today: 20 Jul 2026,1160,270,315,[],[],,,https://app.ahrefs.com/web-analytics,2026-07-20T08:18:31-04:00,2026-07-20,155,29,53
