snapshot_id,account_id,provider,account_label,profile_url,period_label,total_followers,avg_engagement_rate,avg_likes,avg_views,posts_last_90_days,posts_last_month,posts_last_week,platform_rows,source_url,collected_at,snapshot_date,total_followers_change,avg_engagement_rate_change,avg_likes_change,avg_views_change
1,lady-sublime-beacons,beacons,Beacons,,All,109800,0.10400000000000001,639.5,9000.0,1,1,1,"[{""audience_count"": 93600, ""audience_label"": ""Followers"", ""avg_likes"": 2200.0, ""avg_views"": 32300.0, ""engagement_rate"": 0.1, ""handle"": ""officialladysublime"", ""platform"": ""Instagram""}, {""audience_count"": 3100, ""audience_label"": ""Subscribers"", ""avg_likes"": 173.0, ""avg_views"": 1800.0, ""engagement_rate"": 0.102, ""handle"": ""@ladysublimessbbw"", ""platform"": ""YouTube""}, {""audience_count"": 3200, ""audience_label"": ""Followers"", ""avg_likes"": 116.0, ""avg_views"": 1100.0, ""engagement_rate"": 0.114, ""handle"": ""ladysublimessbbw"", ""platform"": ""TikTok""}, {""audience_count"": 9800, ""audience_label"": ""Followers"", ""avg_likes"": 75.0, ""avg_views"": 786.0, ""engagement_rate"": 0.10099999999999999, ""handle"": ""officialladysublime"", ""platform"": ""Threads""}]",https://account.beacons.ai/post-activity/home/post-activity,2026-07-03T23:37:23-04:00,2026-07-03,,,,
2,lady-sublime-beacons,beacons,Beacons,,Beacons Social Analytics All,110000,0.128,553.0,8000.0,9,9,9,"[{""audience_count"": 93800, ""audience_label"": ""Followers"", ""avg_likes"": 2000.0, ""avg_views"": 29900.0, ""engagement_rate"": 0.10099999999999999, ""handle"": ""officialladysublime"", ""platform"": ""instagram""}, {""audience_count"": 3100, ""audience_label"": ""Subscribers"", ""avg_likes"": 87.0, ""avg_views"": 882.0, ""engagement_rate"": 0.102, ""handle"": ""UCgjoVIzGoVuzLWIkvjOKpRw"", ""platform"": ""youtube""}, {""audience_count"": 3200, ""audience_label"": ""Followers"", ""avg_likes"": 109.0, ""avg_views"": 866.0, ""engagement_rate"": 0.14300000000000002, ""handle"": ""ladysublimessbbw"", ""platform"": ""tiktok""}, {""audience_count"": 9900, ""audience_label"": ""Followers"", ""avg_likes"": 58.0, ""avg_views"": 504.0, ""engagement_rate"": 0.16699999999999998, ""handle"": ""officialladysublime"", ""platform"": ""threads""}]",https://account.beacons.ai/post-activity/home/post-activity,2026-07-05T15:34:57-04:00,2026-07-05,200,0.023999999999999994,-86.5,-1000.0
3,lady-sublime-beacons,beacons,Beacons,,Visible Beacons Social Analytics on 2026-07-12,111700,0.059000000000000004,1000.0,28000.0,9,9,0,"[{""audience_count"": 94500, ""audience_label"": ""Followers"", ""avg_likes"": 3500.0, ""avg_views"": 88300.0, ""engagement_rate"": 0.084, ""handle"": ""officialladysublime"", ""platform"": ""Instagram""}, {""audience_count"": 3200, ""audience_label"": ""Subscribers"", ""avg_likes"": 195.0, ""avg_views"": 13000.0, ""engagement_rate"": 0.033, ""handle"": ""ladysublimessbbw"", ""platform"": ""YouTube""}, {""audience_count"": 3300, ""audience_label"": ""Followers"", ""avg_likes"": 286.0, ""avg_views"": 6300.0, ""engagement_rate"": 0.077, ""handle"": ""ladysublimessbbw"", ""platform"": ""TikTok""}, {""audience_count"": 10800, ""audience_label"": ""Followers"", ""avg_likes"": 158.0, ""avg_views"": 4200.0, ""engagement_rate"": 0.043, ""handle"": ""officialladysublime"", ""platform"": ""Threads""}]",https://account.beacons.ai/post-activity/home/post-activity,2026-07-12T17:45:11-04:00,2026-07-12,1700,-0.069,447.0,20000.0
4,lady-sublime-beacons,beacons,Beacons,,Visible Beacons Social Analytics on 2026-07-13,111700,0.059000000000000004,1000.0,28400.0,9,9,0,"[{""audience_count"": 94500, ""audience_label"": ""Followers"", ""avg_likes"": 3600.0, ""avg_views"": 90100.0, ""engagement_rate"": 0.084, ""handle"": ""officialladysublime"", ""platform"": ""Instagram""}, {""audience_count"": 3200, ""audience_label"": ""Subscribers"", ""avg_likes"": 195.0, ""avg_views"": 13000.0, ""engagement_rate"": 0.033, ""handle"": ""ladysublimessbbw"", ""platform"": ""YouTube""}, {""audience_count"": 3300, ""audience_label"": ""Followers"", ""avg_likes"": 286.0, ""avg_views"": 6300.0, ""engagement_rate"": 0.076, ""handle"": ""ladysublimessbbw"", ""platform"": ""TikTok""}, {""audience_count"": 10800, ""audience_label"": ""Followers"", ""avg_likes"": 158.0, ""avg_views"": 4200.0, ""engagement_rate"": 0.043, ""handle"": ""officialladysublime"", ""platform"": ""Threads""}]",https://account.beacons.ai/post-activity/home/post-activity,2026-07-13T08:11:34-04:00,2026-07-13,0,0.0,0.0,400.0
5,lady-sublime-beacons,beacons,Beacons,,Visible Beacons Social Analytics,111900,0.059000000000000004,1100.0,29400.0,9,9,0,"[{""audience_count"": 94600, ""audience_label"": ""Followers"", ""avg_likes"": 3600.0, ""avg_views"": 93500.0, ""engagement_rate"": 0.083, ""handle"": ""officialladysublime"", ""platform"": ""Instagram""}, {""audience_count"": 3200, ""audience_label"": ""Subscribers"", ""avg_likes"": 205.0, ""avg_views"": 13600.0, ""engagement_rate"": 0.034, ""handle"": ""ladysublimessbbw"", ""platform"": ""YouTube""}, {""audience_count"": 3300, ""audience_label"": ""Followers"", ""avg_likes"": 289.0, ""avg_views"": 6500.0, ""engagement_rate"": 0.075, ""handle"": ""ladysublimessbbw"", ""platform"": ""TikTok""}, {""audience_count"": 10800, ""audience_label"": ""Followers"", ""avg_likes"": 158.0, ""avg_views"": 4300.0, ""engagement_rate"": 0.043, ""handle"": ""officialladysublime"", ""platform"": ""Threads""}]",https://account.beacons.ai/post-activity/home/post-activity,2026-07-16T08:11:51-04:00,2026-07-16,200,0.0,100.0,1000.0
6,lady-sublime-beacons,beacons,Beacons,,Visible Beacons Social Analytics,111900,0.057999999999999996,1100.0,30000.0,9,9,0,"[{""audience_count"": 94600, ""audience_label"": ""Followers"", ""avg_likes"": 3700.0, ""avg_views"": 95100.0, ""engagement_rate"": 0.08199999999999999, ""handle"": ""officialladysublime"", ""platform"": ""Instagram""}, {""audience_count"": 3200, ""audience_label"": ""Subscribers"", ""avg_likes"": 217.0, ""avg_views"": 14200.0, ""engagement_rate"": 0.033, ""handle"": ""ladysublimessbbw"", ""platform"": ""YouTube""}, {""audience_count"": 3300, ""audience_label"": ""Followers"", ""avg_likes"": 289.0, ""avg_views"": 6500.0, ""engagement_rate"": 0.075, ""handle"": ""ladysublimessbbw"", ""platform"": ""TikTok""}, {""audience_count"": 10800, ""audience_label"": ""Followers"", ""avg_likes"": 158.0, ""avg_views"": 4300.0, ""engagement_rate"": 0.043, ""handle"": ""officialladysublime"", ""platform"": ""Threads""}]",https://account.beacons.ai/post-activity/home/post-activity,2026-07-17T08:16:46-04:00,2026-07-17,0,-0.0010000000000000078,0.0,600.0
7,lady-sublime-beacons,beacons,Beacons,,Visible Beacons Social Analytics,112000,0.057999999999999996,1100.0,30400.0,9,9,0,"[{""audience_count"": 94700, ""audience_label"": ""Followers"", ""avg_likes"": 3700.0, ""avg_views"": 96400.0, ""engagement_rate"": 0.08199999999999999, ""handle"": ""officialladysublime"", ""platform"": ""Instagram""}, {""audience_count"": 3200, ""audience_label"": ""Subscribers"", ""avg_likes"": 217.0, ""avg_views"": 14200.0, ""engagement_rate"": 0.033, ""handle"": ""ladysublimessbbw"", ""platform"": ""YouTube""}, {""audience_count"": 3300, ""audience_label"": ""Followers"", ""avg_likes"": 300.0, ""avg_views"": 6700.0, ""engagement_rate"": 0.07400000000000001, ""handle"": ""ladysublimessbbw"", ""platform"": ""TikTok""}, {""audience_count"": 10800, ""audience_label"": ""Followers"", ""avg_likes"": 158.0, ""avg_views"": 4300.0, ""engagement_rate"": 0.043, ""handle"": ""officialladysublime"", ""platform"": ""Threads""}]",https://account.beacons.ai/post-activity/home/post-activity,2026-07-18T08:13:08-04:00,2026-07-18,100,0.0,0.0,400.0
8,lady-sublime-beacons,beacons,Beacons,,Visible Beacons Social Analytics,112000,0.057999999999999996,1100.0,30700.0,9,9,0,[],https://account.beacons.ai/post-activity/home/post-activity,2026-07-19T08:14:54-04:00,2026-07-19,0,0.0,0.0,300.0
9,lady-sublime-beacons,beacons,Beacons,,Visible Beacons Social Analytics,112100,0.057,1100.0,31300.0,9,9,0,[],https://account.beacons.ai/post-activity/home/post-activity,2026-07-20T08:16:12-04:00,2026-07-20,100,-0.000999999999999994,0.0,600.0
10,lady-sublime-beacons,beacons,Beacons,,Visible Beacons Social Analytics,112100,0.057,1100.0,31300.0,9,9,0,[],https://account.beacons.ai/post-activity/home/post-activity,2026-07-21T08:14:33-04:00,2026-07-21,0,0.0,0.0,0.0
11,lady-sublime-beacons,beacons,Beacons,,Visible Beacons Social Analytics,112200,0.055999999999999994,1100.0,31800.0,9,9,0,[],https://account.beacons.ai/post-activity/home/post-activity,2026-07-22T08:14:25-04:00,2026-07-22,100,-0.0010000000000000078,0.0,500.0
12,lady-sublime-beacons,beacons,Beacons,,Visible Beacons Social Analytics,112300,0.055999999999999994,1100.0,32100.0,9,9,0,[],https://account.beacons.ai/post-activity/home/post-activity,2026-07-23T08:13:33-04:00,2026-07-23,100,0.0,0.0,300.0
